date,open,high,low,close,adj close,volume
5/4/2010,149.029999,152.350006,147.830002,149.449997,131.942474,30313400
5/5/2010,148.100006,151.220001,147.199997,148.190002,130.830124,18355200
5/6/2010,147.479996,148.630005,139.059998,142.320007,125.647781,22984700
5/7/2010,145.380005,146.550003,141.5,142.990005,126.239288,21268500
5/10/2010,149.089996,149.899994,141.199997,143.830002,126.980888,23098200
5/11/2010,142.399994,145.5,141.550003,141.970001,125.338753,15497900
5/12/2010,144.240005,147.649994,142.279999,147.199997,129.956116,15457000
5/13/2010,148.360001,148.449997,144.419998,144.649994,127.704796,11517900
5/14/2010,143.410004,144.149994,141.899994,143.229996,126.451172,10977400
5/17/2010,143.470001,144.300003,138.529999,142.639999,125.930237,16330100
5/18/2010,143.690002,143.75,136.600006,137.360001,121.268806,18025300
5/19/2010,137.949997,140.130005,136.100006,140.100006,123.687859,18079900
5/20/2010,138.199997,139.490005,135.75,136.100006,120.15641,16279200
5/21/2010,137.080002,143.449997,136.25,140.619995,124.146873,25553400
5/24/2010,142,142.949997,136.509995,136.690002,120.677315,16556800
5/25/2010,134.729996,143.190002,134.199997,142.559998,125.859627,21490900
5/26/2010,144.289993,145.800003,139.690002,140.300003,123.864403,17073900
5/27/2010,142.929993,145.050003,141.039993,144.949997,128.289688,12910200
5/28/2010,144.419998,145.800003,143.100006,144.259995,127.679001,10683700
6/1/2010,144.259995,146.399994,141.699997,141.860001,125.554901,9455200
6/2/2010,142,145,141.139999,144.830002,128.183517,7668400
6/3/2010,144.910004,145.25,142.5,144.039993,127.484283,7454900
6/4/2010,142.169998,145.869995,141.710007,142.25,125.900024,14900400
6/7/2010,142.279999,143.270004,137.850006,138.679993,122.740395,12238600
6/8/2010,139.139999,139.679993,135.050003,137.779999,121.94381,14587000
6/9/2010,138.589996,139.419998,136.220001,136.800003,121.076439,8950600
6/10/2010,137.600006,137.770004,131.300003,133.770004,118.394753,21931000
6/11/2010,133.330002,136.050003,133,135.639999,120.049797,9241800
6/14/2010,137.110001,137.110001,133.399994,133.440002,118.102631,10951400
6/15/2010,134.630005,137.399994,133.300003,136.899994,121.164978,10649300
6/16/2010,136.059998,138.259995,135.710007,137.059998,121.306541,7077700
6/17/2010,136.949997,138.380005,135.220001,137.320007,121.53669,8104300
6/18/2010,137.820007,139.720001,137.520004,138.179993,122.297867,10154900
6/21/2010,139.649994,140.149994,137.309998,137.740005,121.908424,8691000
6/22/2010,137.539993,137.75,134.589996,134.789993,119.297508,9002200
6/23/2010,133.899994,136.380005,132.729996,135.070007,119.545311,8232200
6/24/2010,134.139999,135.979996,133.110001,134.979996,119.465637,9967900
6/25/2010,136.990005,140.899994,135.429993,139.660004,123.607712,14332300
6/28/2010,140.380005,140.380005,136.529999,136.660004,120.952568,9908100
6/29/2010,134.979996,135.850006,133.169998,133.759995,118.385857,10338100
6/30/2010,133.679993,134.300003,131.020004,131.270004,116.182083,9139800
7/1/2010,131.690002,133.75,129.5,131.139999,116.067017,11645300
7/2/2010,132.110001,132.380005,129.690002,131.080002,116.013885,6566400
7/6/2010,133.740005,134.389999,131.070007,132.259995,117.058266,7820100
7/7/2010,132.440002,136.130005,132.070007,135.830002,120.217979,9300400
7/8/2010,136.919998,137.169998,133.559998,135.460007,119.890472,9895700
7/9/2010,135.360001,138.5,134.589996,138.059998,122.191643,6919900
7/12/2010,137.610001,138.309998,136.029999,137.25,121.474709,4728900
7/13/2010,138.5,141.199997,138.110001,140.25,124.129875,8983900
7/14/2010,139.289993,139.589996,137.649994,139.059998,123.076668,6068500
7/15/2010,140.020004,146.25,137.820007,145.220001,128.528656,21621900
7/16/2010,151.470001,152,146.050003,146.169998,129.369431,29604600
7/19/2010,147.669998,147.699997,144.100006,145.679993,128.935806,10875900
7/20/2010,142.179993,149.729996,141.550003,148.910004,131.794601,20571400
7/21/2010,150.050003,150.970001,146.860001,146.990005,130.095245,11337000
7/22/2010,148.880005,149.880005,144.160004,146.550003,129.705826,13307300
7/23/2010,146.649994,148.410004,144.570007,147.380005,130.44043,7306900
7/26/2010,147.389999,149,145.210007,148.199997,131.166122,6089000
7/27/2010,149.089996,149.660004,147,147.229996,130.307632,7151200
7/28/2010,147,148.649994,146.779999,147.199997,130.281067,4845600
7/29/2010,148.270004,153.149994,147.630005,152.580002,135.042755,15657700
7/30/2010,151.350006,153.410004,150.800003,150.820007,133.485001,8792400
8/2/2010,152.820007,153.639999,151.610001,152.740005,135.184341,6523100
8/3/2010,152.119995,153.960007,151.410004,153.190002,135.582626,5648500
8/4/2010,153.619995,157.25,153,156.410004,138.43251,12283700
8/5/2010,155.630005,156.220001,154.399994,155.919998,137.998871,5680200
8/6/2010,154.539993,156.059998,153.770004,155.179993,137.343872,8082600
8/9/2010,155.929993,156.199997,154.589996,155.399994,137.538605,4209800
8/10/2010,154.020004,154.770004,153.179993,153.899994,136.210999,5861700
8/11/2010,151.720001,152,148.910004,149.25,132.095459,7734400
8/12/2010,147.809998,150.589996,147.809998,149.419998,132.245911,4949300
8/13/2010,149.380005,150.449997,148.080002,148.080002,131.059982,4218700
8/16/2010,147.580002,149.179993,147,147.759995,130.776718,3760100
8/17/2010,148.679993,149.789993,148.139999,148.589996,131.511307,4391600
8/18/2010,148.539993,149.940002,147.729996,149.199997,132.051193,4460600
8/19/2010,148.669998,149.660004,146.279999,147.050003,130.148315,5290900
8/20/2010,147.440002,148.970001,147.25,148.240005,131.201538,5276800
8/23/2010,148.119995,148.5,146.600006,146.740005,129.873978,3729200
8/24/2010,144.800003,145.490005,143.820007,143.949997,127.404663,6372300
8/25/2010,142.809998,145.330002,142.75,144.679993,128.050735,5638400
8/26/2010,144.940002,145.160004,141.660004,141.809998,125.510651,6818100
8/27/2010,141.130005,141.740005,138.25,139.75,123.687431,11252000
8/30/2010,138.830002,140.110001,136.649994,136.660004,121.256218,6205800
8/31/2010,136.25,138.009995,135.789993,136.929993,121.495758,7064100
9/1/2010,139.009995,140.339996,137.800003,139.740005,123.989067,6897700
9/2/2010,139.929993,140.149994,138.449997,139.779999,124.024544,4992000
9/3/2010,141.619995,147.990005,141.330002,147.289993,130.688034,13588500
9/7/2010,146.149994,146.240005,144.149994,145.210007,128.842499,6211300
9/8/2010,145.380005,149.660004,145.360001,147.539993,130.909851,8310300
9/9/2010,149.789993,150.679993,148.5,149.139999,132.329514,6729800
9/10/2010,149.460007,150.75,148.809998,150.389999,133.438629,4417200
9/13/2010,152.320007,154.699997,152.300003,154.369995,136.970047,7653600
9/14/2010,153.539993,153.75,152.229996,152.529999,135.337387,5688200
9/15/2010,151.669998,152.800003,150.669998,152.559998,135.364059,5698200
9/16/2010,152.279999,152.479996,151.160004,152.229996,135.071167,4388600
9/17/2010,152.110001,152.470001,150.559998,150.979996,133.962143,4835600
9/20/2010,150.979996,152.399994,149.889999,151.899994,134.778442,5640500
9/21/2010,152.110001,154.570007,151.089996,151.399994,134.334824,6876000
9/22/2010,149.949997,150.550003,147.690002,148.070007,131.380081,8986100
9/23/2010,146.360001,146.869995,143.979996,144.910004,128.576324,9152400
9/24/2010,146.25,147.600006,145.820007,147.279999,130.679184,5623700
9/27/2010,147.009995,148.410004,145.779999,146,129.543533,5205900
9/28/2010,146.509995,146.690002,144.059998,145.009995,128.665054,5504800
9/29/2010,145.020004,145.020004,142.539993,144.419998,128.141556,6944900
9/30/2010,145.25,146.979996,144.300003,144.580002,128.283508,6854400
10/1/2010,145.199997,148.5,144.820007,147.699997,131.051834,7439800
10/4/2010,147.699997,148.470001,144.699997,146.570007,130.049255,5866700
10/5/2010,147.559998,150.279999,146.070007,149.570007,132.71109,8724700
10/6/2010,149.75,152.330002,149.130005,150.839996,133.837906,6330600
10/7/2010,152.110001,152.360001,150.029999,151.110001,134.077499,4471500
10/8/2010,151.149994,153.399994,150.619995,152.660004,135.452744,5225100
10/11/2010,152.669998,153.089996,151.270004,152.199997,135.044647,4454400
10/12/2010,151.300003,155.449997,151.009995,155.210007,137.715347,6378000
10/13/2010,156.300003,156.690002,154.389999,154.729996,137.289474,5626200
10/14/2010,154.229996,154.289993,150.550003,151.589996,134.503357,6891100
10/15/2010,152.690002,152.690002,150.660004,150.690002,133.704849,6901500
10/18/2010,150.929993,154.380005,150.850006,153.699997,136.375519,6972300
10/19/2010,155.139999,159.699997,154.110001,156.720001,139.055161,14491200
10/20/2010,156.210007,160.25,154.860001,159.600006,141.610504,10631200
10/21/2010,159.580002,161.5,158.100006,159.300003,141.34433,6350900
10/22/2010,159.889999,159.979996,157.5,157.759995,139.977966,4051700
10/25/2010,159.360001,159.449997,156.270004,157.389999,139.649628,5728300
10/26/2010,156.720001,158.729996,156.529999,158.289993,140.448135,4068500
10/27/2010,157.190002,160.589996,157,160.149994,142.098572,6570900
10/28/2010,160.860001,163.789993,160.440002,163.240005,144.840256,9918800
10/29/2010,162.149994,163.600006,160.949997,161.130005,142.968094,4536600
11/1/2010,161.770004,162.960007,160.169998,161.570007,143.358429,4514400
11/2/2010,162.059998,163,161.800003,162.820007,144.467636,3332400
11/3/2010,163.179993,163.179993,160.570007,162.630005,144.298996,4462800
11/4/2010,163.619995,166.399994,162.690002,166.389999,147.635178,8162600
11/5/2010,165.990005,171.179993,165.919998,171.070007,151.787659,11989300
11/8/2010,169.949997,171.610001,169.100006,169.199997,150.128387,5516100
11/9/2010,170.300003,170.850006,166,166.550003,147.7771,7343900
11/10/2010,166.309998,168.649994,165.570007,167.220001,148.371628,6328100
11/11/2010,165.789993,168.889999,165.789993,167.710007,148.806396,3931500
11/12/2010,166.389999,168.119995,164.649994,165.830002,147.138336,4735600
11/15/2010,165.679993,169.350006,165.009995,167.220001,148.371628,5199000
11/16/2010,165.800003,167,164.660004,165.100006,146.49057,5914100
11/17/2010,165.119995,165.729996,164,164.889999,146.304306,3726300
11/18/2010,165.690002,168.929993,165.600006,167.350006,148.486984,4987500
